"","county_labels","date","AQI","lead","co","so2","no2","o3","pm10","pm25","time"
"245","Butte",2016-05-01,34,0.014,0.266667,0.762253,4.773913,0.031118,18,343.9,29
"246","Butte",2016-06-01,37,0.015,0.2625,0.836039,5.034783,0.030706,24,345.4,30
"247","Butte",2016-07-01,31,0.013,0.2625,0.7108695,4.467391,0.025118,25,356.7,31
"248","Butte",2016-08-01,33,0.014,0.275,0.689474,4.856522,0.026765,27,360.85,32
"249","Butte",2016-09-01,40,0.017,0.329167,0.795455,6.7347825,0.029118,35,321.05,33
"250","Butte",2016-10-01,32,0.015,0.3375,0.7727275,7.83913,0.0256765,20,343.9,34
"251","Butte",2016-11-01,39.5,0.017,0.4479165,0.936364,11.3478265,0.0179115,14,505,35
"252","Butte",2016-12-01,52,0.013,0.483333,1.054545,13.834783,0.015176,11,741.4,36
"253","Butte",2017-01-01,33,0.013,0.41875,0.959091,11.491304,0.021059,7,384,37
"254","Butte",2017-02-01,32,0.01975,0.365942,0.931818,8.452174,0.027353,8,244.15,38
"255","Butte",2017-03-01,35,0.0175,0.370833,0.895455,8.530435,0.0275585,12,290.9,39
"256","Butte",2017-04-01,40,0.01475,0.320833,0.545455,6.134783,0.034941,13,275.75,40
"257","Butte",2017-05-01,35,0.013,0.283333,0.5,4.5108695,0.0319705,21,281.25,41
"258","Butte",2017-06-01,31,0.0145,0.270833,0.447727,4.526087,0.026,23,310.25,42
"259","Butte",2017-07-01,37,0.013,0.3,0.525,5.321739,0.0261765,27,329.3,43
"260","Butte",2017-08-01,48,0.01375,0.308333,0.55,5.3891305,0.0276765,33,414.75,44
"261","Butte",2017-09-01,41,0.0155,0.383333,0.654545,6.936364,0.029294,32,470.05,45
"262","Butte",2017-10-01,48.5,0.012,0.5,0.827273,12.43913,0.027294,52.5,849.15,46
"263","Butte",2017-11-01,38,0.0145,0.4375,0.6952275,11.797826,0.018706,14,367.95,47
"264","Butte",2017-12-01,67,0.0145,0.625,0.9533595,19.234783,0.012824,26,697.7,48
"265","Butte",2018-01-01,53,0.016,0.466667,0.795455,13.017391,0.013,20,990.6,49
"266","Butte",2018-02-01,41,0.016,0.420833,0.845455,12.330435,0.024471,15.5,662.8,50
"267","Butte",2018-03-01,35,0.013,0.379167,0.469565,9.15,0.028059,9.5,469.8,51
"268","Butte",2018-04-01,39,0.012,0.3,0.3496895,6.493478,0.034294,17,486.05,52
"269","Butte",2018-05-01,34,0.0125,0.254167,0.263636,4.130435,0.032294,21,421.15,53
"270","Butte",2018-06-01,40,0.015,0.2479165,0.513961,4.673913,0.0302055,23.5,597.7,54
"271","Butte",2018-07-01,35,0.017,0.275,0.617391,4.6956525,0.026412,27,566.5,55
"272","Butte",2018-08-01,54,0.019,0.304167,0.454545,5.386858,0.029588,39,678.9,56
"273","Butte",2018-09-01,42,0.014,0.3,0.622233,6.522233,0.0280885,39.5,422.65,57
"274","Butte",2018-10-01,35,0.015,0.370833,0.66087,9.908696,0.024412,34.5,361,58
"275","Butte",2018-11-01,58.5,0.016,0.636607,0.814643,17.0086955,0.017765,70.5,1838.15,59
"276","Butte",2018-12-01,45.5,0.014,0.458333,0.547826,11.4391305,0.014118,22,424.2,60
"277","Butte",2019-01-01,37,0.013,0.458333,0.595455,12.045761,0.017882,12,307,61
"278","Butte",2019-02-01,34,0.012,0.341667,0.495652,7.4391305,0.030294,8,127.9,62
"279","Butte",2019-03-01,38,0.016,0.3875,0.447826,8.2934785,0.031728,10,182.9,63
"280","Butte",2019-04-01,37,0.012,0.321739,0.46087,5.8383115,0.032294,16,235.8,64
"281","Butte",2019-05-01,36,0.012,0.275,0.419565,4.108696,0.032588,15.5,203.5,65
